state,year,poor,core
Florida,2001,0.141958207,0.699204768
Florida,2002,0.150815087,0.677844099
Florida,2003,0.151386282,0.686098684
Florida,2004,0.147004869,0.643116672
Florida,2005,0.133354293,0.605916860
Florida,2006,0.128787155,0.638894445
Florida,2007,0.137802004,0.588906930
Florida,2008,0.149916513,0.553302976
Florida,2009,0.165585633,0.602575606
Florida,2010,0.192466077,0.615480710
Florida,2011,0.194366782,0.602534573
Florida,2012,0.189538133,0.579976862
Florida,2013,0.191087120,0.581258556
Florida,2014,0.198283602,0.555404791
Georgia,1997,0.192068857,0.842139325
Georgia,1998,0.180969731,0.753943657
Georgia,1999,0.163003262,0.449746505
Georgia,2000,0.147727115,1.068836252
Georgia,2001,0.145743785,0.679647746
Georgia,2002,0.148655546,0.461529277
Georgia,2003,0.149525625,0.616313401
Georgia,2004,0.159591505,0.579325435
Georgia,2005,0.164337779,0.449121634
Georgia,2006,0.166427715,0.324160483
Georgia,2007,0.172649959,0.310804710
Georgia,2008,0.180905677,0.248082166
Georgia,2009,0.193692217,0.212516021
Georgia,2010,0.208677515,0.261553889
Georgia,2011,0.206411807,0.196443278
Georgia,2012,0.210069276,0.189080092
Georgia,2013,0.215942543,0.180366552
Georgia,2014,0.205753654,0.169918235
Hawaii,1997,0.160698846,1.183776577
Hawaii,1998,0.156091617,0.928494285
Hawaii,1999,0.140961821,0.917938063
Hawaii,2000,0.114827945,0.923754146
Hawaii,2001,0.113536558,0.886523869
Hawaii,2002,0.137307523,0.902226002
Hawaii,2003,0.116816226,0.835856017
Hawaii,2004,0.094744483,0.827999573
Hawaii,2005,0.087060604,0.836998632
Hawaii,2006,0.086295736,0.839090956
Hawaii,2007,0.086046200,0.879099471
Hawaii,2008,0.095868954,0.594031660
Hawaii,2009,0.123783910,0.681086931
Hawaii,2010,0.149630580,0.686290193
Hawaii,2011,0.153904689,0.701727106
Hawaii,2012,0.152057495,0.717662259
Hawaii,2013,0.133919399,0.718468334
Hawaii,2014,0.125741467,0.678998381
Idaho,1997,0.154494823,0.398529524
Idaho,1998,0.158146292,0.320931089
Idaho,1999,0.156577847,0.333884605
Idaho,2000,0.148583814,0.408785469
Idaho,2001,0.135423127,0.417656955
Idaho,2002,0.134761493,0.483864149
Idaho,2003,0.126857984,0.473268290
Idaho,2004,0.121304167,0.451146817
Idaho,2005,0.109722776,0.495160862
Idaho,2006,0.105170150,0.513469036
Idaho,2007,0.112816682,0.449459809
Idaho,2008,0.141672739,0.483918363
Idaho,2009,0.166623888,0.500643387
Idaho,2010,0.174294829,0.386960145
Idaho,2011,0.195659757,0.610286081
Idaho,2012,0.197420257,0.583436606
Idaho,2013,0.157782001,0.522198095
Idaho,2014,0.118672679,0.532748020
Illinois,1997,0.145396582,1.094717217
Illinois,1998,0.126120837,0.808847464
Illinois,1999,0.117471809,0.829009374
Illinois,2000,0.121037668,0.678751313
Illinois,2001,0.123344154,0.606495113
Illinois,2002,0.137148657,0.608552184
Illinois,2003,0.147610309,0.601349051
Illinois,2004,0.149644540,0.582486290
Illinois,2005,0.141251601,0.618472726
Illinois,2006,0.130768328,0.597984522
Illinois,2007,0.127142891,0.546701513
Illinois,2008,0.142118035,0.541920538
Illinois,2009,0.163375627,0.552057345
Illinois,2010,0.169534618,0.663634079
Illinois,2011,0.175192848,0.682865404
Illinois,2012,0.170988034,0.668150033
Illinois,2013,0.164238316,0.657713506
Illinois,2014,0.167664971,0.667441569
Indiana,1997,0.094865543,0.828175064
Indiana,1998,0.096246419,0.640787984
Indiana,1999,0.087690885,0.543415905
Indiana,2000,0.084393952,0.663378955
Indiana,2001,0.096961384,0.618419839
Indiana,2002,0.093782181,0.551765242
Indiana,2003,0.105505804,0.587458103
Indiana,2004,0.139984263,0.490268799
Indiana,2005,0.165600572,0.461064445
Indiana,2006,0.149706993,0.448438063
Indiana,2007,0.149668158,0.501283845
Indiana,2008,0.179075380,0.395097509
Indiana,2009,0.210031670,0.515085934
Indiana,2010,0.237847538,0.391286524
Indiana,2011,0.230947467,0.409861623
Indiana,2012,0.223041120,0.403993170
Indiana,2013,0.193105756,0.438849081
Indiana,2014,0.178521591,0.434110907
Iowa,1997,0.114475990,0.907987361
Iowa,1998,0.123545978,0.728487592
Iowa,1999,0.114172656,0.675886392
Iowa,2000,0.091799909,0.667563315
Iowa,2001,0.086701112,0.689271728
Iowa,2002,0.090746271,0.698875964
Iowa,2003,0.100936496,0.724967724
Iowa,2004,0.114735854,0.683855259
Iowa,2005,0.124748177,0.646526036
Iowa,2006,0.134288098,0.623890032
Iowa,2007,0.125495771,0.640377839
Iowa,2008,0.112027850,0.623444224
Iowa,2009,0.122914430,0.604038789
Iowa,2010,0.129190830,0.620776186
Iowa,2011,0.125735372,0.602984130
Iowa,2012,0.128298322,0.591602814
Iowa,2013,0.138794228,0.559549884
Iowa,2014,0.130309545,0.527977062
Kansas,1997,0.124406899,0.559901815
Kansas,1998,0.117244095,0.329752052
Kansas,1999,0.147053692,0.387265036
Kansas,2000,0.133298173,0.413052857
Kansas,2001,0.107082042,0.482224136
Kansas,2002,0.115909933,0.490960463
Kansas,2003,0.113542338,0.535587650
Kansas,2004,0.130506469,0.570620902
Kansas,2005,0.143539275,0.583325128
Kansas,2006,0.143675506,0.617439341
Kansas,2007,0.164829249,0.524442556
Kansas,2008,0.166870314,0.506049027
Kansas,2009,0.153161325,0.486853618
Kansas,2010,0.175098750,0.419838911
Kansas,2011,0.193841022,0.425712063
Kansas,2012,0.191761480,0.333440871
Kansas,2013,0.157043084,0.322288951
Kansas,2014,0.141940812,0.302744541
Kentucky,1997,0.230876268,0.805324738
Kentucky,1998,0.202554980,0.785692690
Kentucky,1999,0.176801269,0.707289472
Kentucky,2000,0.162328670,0.759266085
Kentucky,2001,0.149278217,0.822775071
Kentucky,2002,0.161951001,0.827140055
Kentucky,2003,0.176228701,0.863059630
Kentucky,2004,0.199388307,0.856228031
Kentucky,2005,0.208873599,0.789041944
Kentucky,2006,0.207184575,0.847477193
Kentucky,2007,0.209360535,0.878328406
Kentucky,2008,0.208370635,0.851133014
Kentucky,2009,0.212623200,0.844989741
Kentucky,2010,0.218355494,0.882428317
Kentucky,2011,0.217020240,0.837728486
Kentucky,2012,0.235458817,0.869752075
